sentence,Governing Law,Termination,Confidentiality,Limitation Of Liability,License Grant,Non-Compete,Assignment,IP Ownership,Payment Terms
This Agreement shall be construed in accordance with the laws of the State of New York without regard to principles of conflicts of law.,1,0,0,0,0,0,0,0,0
"In the event that it is determined that Excite violated the Agreement by excluding a bona fide NetGrocer Competitor from Exhibit A or displayed on the Excite Site advertising or promotional material from a bona fide NetGrocer Competitor, Excite will be obligated to (i) immediately add the online supermarket to Exhibit A, (ii) immediately remove from the Excite Site any advertising or promotional material from the online supermarket and (iii) provide NetGrocer with advertising and promotional value, without additional cost, equal to the advertising and promotional value provided to the online supermarket prior to the removal of its advertising and promotional material from the Excite Site.",0,0,0,0,0,1,0,0,0
"(d) The Contractor shall not assign this Agreement or any of its rights, powers, duties or obligations hereunder without the express prior written consent of the Company, which shall not be unreasonably withheld.",0,0,0,0,0,0,1,0,0
"NOTWITHSTANDING THE ABOVE AND REGARDLESS OF THE CIRCUMSTANCES, SELLER'S TOTAL LIABILITY TO BUYER FOR ANY AND ALL CLAIMS, LOSSES OR DAMAGES ARISING OUT OF ANY CAUSE WHATSOEVER, WHETHER BASED IN CONTRACT, NEGLIGENCE OR OTHER TORT, STRICT LIABILITY, BREACH OF WARRANTY OR OTHERWISE, SHALL IN NO EVENT EXCEED THE PURCHASE PRICE OF PRODUCT IN RESPECT TO WHICH SUCH CAUSE AROSE.",0,0,0,1,0,0,0,0,0
"For purposes of this Agreement the terms ""person"" or ""persons"" shall mean any individual, corporation (including not-for-profit), general or limited partnership, limited liability or unlimited liability company, joint venture, estate, trust, association, organization or other entity of any kind or nature.",0,0,0,0,0,0,0,0,0
"Each of the Parties hereby agrees that it shall not assert, and shall hereby waive, any claim or right or defense that it is not subject to the jurisdiction of such courts, that the venue is improper, that the forum is inconvenient or any similar objection, claim or argument.",0,0,0,0,0,0,0,0,0
"This Agreement may not be assigned by any party without the written consent of the other parties, except to a subsidiary or controlled affiliate of such party which succeeds such party's conduct of Covered Businesses.",0,0,0,0,0,0,1,0,0
EXCLUSIONS.,0,0,0,0,0,0,0,0,0
4.20 Removal and Management of Used Batteries.,0,0,0,0,0,0,0,0,0
G. Recipient will immediately give notice to Recipient of any unauthorized use or disclosure of the Confidential Information.,0,0,0,0,0,0,0,0,0
"At our request, you must provide us with any documentation we request showing that you have met your monthly Local Advertising Requirement.",0,0,0,0,0,0,0,0,0
"With respect to Beacon Optofluidic Machines (including related Hardware and Software), Consumables and Services for which Ginkgo has placed a Purchase Order pursuant to this Agreement, the Parties agree to the BLI Terms and Conditions that apply with respect to Beacon Optofluidic Machines (including related Hardware and Software), Consumables and Services, unless, notwithstanding anything to the contrary set forth in the BLI Terms and Conditions (including any language regarding the treatment of additional or different terms set forth therein), a term in such BLI Terms and Conditions is inconsistent with a term in this Agreement, in which case this Agreement shall control, including as follows: 4.1.1 this Agreement, and not the BLI Terms and Conditions, shall solely set forth the fields in which Ginkgo has and does not have the ability to use the Beacon Optofluidic Machines (including related Hardware and Software), Consumables and Services for certain purposes (e.g., the Excluded Field); 4.1.2 BLI's liability with respect to any Failure to Supply, penalties for late delivery and obligations with respect to short supply shall be as set forth in this Agreement, including Section 5.4.3 (Failure to Supply) of this Agreement; 4.1.3 any right of BLI to use Ginkgo's data, including Collaboration Data, is solely set forth in this Agreement, including Section 8.5 (Use of Collaboration Data) and the BLI Terms and Conditions shall give BLI no right to use any data of Ginkgo or its Affiliates, including Collaboration Data; 4.1.4 each Party's indemnification obligations and matters relating to the extent of its liability (e.g.",0,1,0,0,0,0,0,0,0
"Contractor's Obligations 4.1 Contractor shall provide Customer with the following services: - Material planning - Material procurement - Incoming Inspection - Assembly of printed circuit boards & cables - Final assembly & integration of the Product - In Circuit test - Functional test - Packaging and delivery 4.2 Customer's production facilities Contractor will be obliged to allocate to Customer, production and storage space as well as trained production and testing personnel as an integral part of this Agreement.",0,0,0,0,0,0,0,0,0
"In the event that the Agreement is terminated pursuant to Section 14.5, the following shall occur: (i) Return of Materials.",0,0,0,0,0,0,0,1,0
"The formula for calculation shall be: (1) If the game package only includes multiple console games: Based on the amount of downloads of the console games, the sharing percentage among all CSPs in the package shall be calculated as follows: Total income of game package * (1 - bad debt rate) * (1 - sharing percentage for fee collection channel) *50% * (number of downloads of such CSP's online game/aggregate number of downloads of all console games contained in the game package) (2) If the game package only includes multiple WAP social online games: Based on the amount of logons of the online games, the sharing percentage among all CSPs in the package shall be calculated as follows: Total income of game package * (1 - bad debt rate) * (1 - sharing percentage for fee collection channel) *50% * (logons of such CSP's online game/sum of logons of all online games contained in the game package) The detailed practices are set out in Management Measures for Cooperation in Mobile Game Business (V1.0).",0,0,0,0,0,0,0,0,1
This Agreement shall be deemed to have been made in the -------------- state of Washington and shall be construed in accordance with the laws of the state of Washington.,1,0,0,0,0,0,0,0,0
"EXHIBIT F --------- Transfer by Inktomi ------------------- If Inktomi requests Microsoft's consent to a transfer as described in clause (a) of Section 12.5 of this Software Hosting Agreement to which this Exhibit F is appended, and Microsoft reasonably withholds its consent to such transfer (an ""Unconsented Transfer""), then Inktomi will nevertheless have the right to transfer this Agreement in connection with its proposed Unconsented Transfer subject to the following conditions precedent to the Unconsented Transfer: (i) Inktomi, at its sole cost and expense, and without any financing supplied by Microsoft, will create a separate cluster of Hosting Servers for Microsoft required to service Microsoft's reasonably anticipated needs for a period of twelve months after the commencement of operation of such new and relocated cluster [provided however that Microsoft will purchase, or fund (in accordance with the Loan Agreement) Inktomi's of, (whichever Microsoft elects) any new hosting servers beyond the Hosting Servers purchased by Inktomi under said Software Hosting Agreement necessary to service Microsoft's reasonably anticipated needs as set forth above]; (ii) Inktomi will relocate, at its sole cost and expense (including, without limitation, indemnifying Microsoft and holding it harmless against any and all Taxes that arise as a direct or indirect result of the relocation of the Hosting Servers), all Hosting Servers referred to in clause (i) to a location designated by Microsoft, in its sole discretion; (iii) Inktomi, at its sole cost and expense, will provide training to Microsoft personnel to the extent requested by Microsoft, to enable such personnel to use and maintain the Microsoft Search Engine, and to create enhancements thereto, with reasonable competence (all as determined by Microsoft in its sole discretion); (iv) Inktomi will grant to Microsoft an irrevocable, non-exclusive, royalty-free license to use the Product (and all required underlying Inktomi Technology) solely in connection with Microsoft's operation of the Microsoft Search Engine (which license shall include the right to create enhancements and other derivative works based thereon for use in conjunction therewith) for such period as Microsoft may require to transition its search engine services to non-Inktomi technology (the ""Transition Period""), and Inktomi will waive all royalties otherwise payable pursuant to the Software Development Agreement and/or the Information Services Agreement between the parties of even date herewith; for the purposes of this clause (iv), the Transition Period will commence at such time as Microsoft assumes control over said separate cluster and begins itself operating the Microsoft Search Engine, and will continue thereafter for eighteen months (18) or until the 24 termination of the Software Development Agreement and Information Services Agreement (whichever is longer); (v) Inktomi will direct the Escrow Agent to release to Microsoft all Confidential Materials held by the Escrow Agent, subject to Microsoft's agreement to use such Confidential Materials only in connection with its licensed rights under clause (iv) above; (vi) Inktomi will agree to reimburse Microsoft for all reasonable costs incurred by Microsoft in transitioning its search engine to non-Inktomi technology (whether created by Microsoft or by a third party); and (vii) Inktomi will cause the applicable proposed transferee of this Agreement to assume, jointly and severally with Inktomi, all of Inktomi's obligations hereunder.",0,0,0,0,1,0,0,0,0
"For the avoidance of doubt, Licensee will not be provided electronic copies of any scripts.",0,0,1,0,0,0,0,0,0
"Compliance with Law Franchisee shall ensure that the Smaaash Centres shall be set up, established, operated, managed, advertised, marketed, promoted, publicized and otherwise exploited, in accordance with all applicable laws and regulations in the Territory, including without limitation, all customs requirements and country of origin regulations.",0,0,0,0,0,0,0,0,0
"13/026,741, 12/990,724, WO2009/154944 and WO2011/100659, and Kitov's Confidential Information.. 1.22 ""Kitov Foreground IP"" shall have the meaning set forth in Section 8.1 of the Development Agreement as shown in Exhibit A.",0,0,0,0,0,0,0,0,0
"If we establish an Ad Fund, you agree to contribute to the Ad Fund a percentage of gross revenues of the Franchise in an amount we designate from time to time by notice to you, up to a maximum of two percent (2%) of the gross revenues of the Franchise.",0,0,0,0,0,0,0,0,1
This Agreement shall be governed by and construed in accordance with the laws of the State of Nevada without giving effect to choice of law doctrine.,1,0,0,0,0,0,0,0,0
"Metavante shall use commercially reasonable efforts to resolve all problems and requests within the scope of Services notwithstanding whether any Service Level has or has not been met, and shall notify Customer promptly of any such unresolved issues known to it.",0,0,0,0,0,0,0,0,0
"3 TERMINATION: except as specifically described elsewhere in this agreement, either ITS or COMWARE shall have the right to terminate this Agreement with 30 days written notice from the other party, for any reason whatsoever.",0,1,0,0,0,0,0,0,0
"Reseller's customers (the ""Customers"") are defined as those organizations/enterprises that will market and manage the end-users of the Products (the ""End-Users"").",0,0,0,0,0,0,0,0,0
"YEAR 3 - Annual minimum payment ($250,000), plus a percentage increase in the annual minimum payment equal to 50% of the difference between the number of emails sent by HSNS on behalf of Outsourcing Customers in Year 1 and Year 2, up to a maximum Year 3 payment of $500,000.00.",0,0,0,0,0,0,0,0,1
"o Assist the Joint Venture Company, upon request, in applying for all possible preferential tax treatment and other preferential treatment.",0,0,0,0,0,0,0,0,0
"In digital formats, the minimum width is 100 pixels at 72 dpi.",0,0,0,0,0,0,0,0,1
"""Noteholder"" means the Person in whose name a Note is registered on the Note Register.",0,0,0,0,0,0,0,0,0
"This Agreement shall inure to the benefit of and be binding upon the successors and assigns of the Parties hereto; provided, however, that neither Party shall transfer or assign this Agreement without the prior written consent of the other Party, such consent not to be unreasonably withheld, except where such assignment is by CPDC to any successor or subsidiary organization created within [***] of the Effective Date of this Agreement, which assignment may be completed without the prior written consent of FUSION.",0,0,0,0,0,0,1,0,0
"All notices mailed shall be deemed to have been given two business days after they have been deposited as certified mail, return receipt requested, postage paid and properly addressed.",0,0,0,0,0,0,0,0,0
"12.2.2 The minimum characteristics of the Hydrocarbon which must be included in the certificate are: Viscosity cST and SSU at 86°F, 100°F and 140°F, gravity API at 60°F, sulfur content, salt content, BSW, Acidity and Point of fluidity.",0,0,0,0,0,0,0,0,1
***.,0,0,0,0,0,0,0,0,0
"Promptly after any public announcement regarding any proposed transaction that would result in a Change in Circumstances, Buyer/Buyer Affiliates shall notify Seller/ExxonMobil Selling Affiliates, in writing, of the nature of such transaction, the parties thereto and the proposed date of consummation.",0,0,0,0,0,0,0,0,0
"This Agreement shall be governed by, and construed in accordance with, the laws of the State of California without reference to its choice of law rules.",1,0,0,0,0,0,0,0,0
"16.4 If the JVC fails to sell [one million dollars (US$ 1,000,000.00)] worth of Products in the Territory within [eighteen (18)] months from the date of execution of this Agreement, both the Parties will mutually discuss whether to continue or terminate the Agreement.",0,0,0,0,0,0,0,0,1
4.3 To maintain exclusive rights to Dynamic Hearing Technology for Hearing Aids IntriCon will make minimum annual payments to Dynamic Hearing as set out in the Minimum Payment Schedule.,0,0,0,0,0,1,0,0,0
"KCI pledges that it will not circumvent the relationships among venders, providers and clients developed by Provider either directly or indirectly, during the contract period and for a period of up to 2 (two) years following termination of this contract 7 CONSIDERATION TO PROVIDER Seven hundred fifty thousand (750,000) shares of Kingdom Connect, Inc. Series A Preferred Stock.",0,0,0,0,0,0,0,0,1
.,0,0,0,0,0,0,0,0,0
"Source: EHAVE, INC., 20-F, 5/15/2019 (b) Grant by Ehave Subject to the terms and conditions of this Agreement commencing as of the Effective Date and for the duration of the Term and any Transition-out Period, Ehave hereby grants to CHT a non-transferable (except as permitted under Section 20(f)), right to: (i) sub-license the use of the Ehave Companion Solution within the Field of Use in the Territory to End Users and their respective Authorized Users, including in operation or by interfacing with other software, hardware, systems, networks and services, in accordance with and subject to the provisions of CHT's Subscription Agreement; and (ii) use the Ehave Companion Solution to support its licensed End Users.",0,0,0,0,1,0,0,0,0
Entrust acknowledges that NTL will be holding inventory of ----- PDSO as of the Effective Date.,0,0,0,0,0,0,0,0,0
MD Anderson also hereby grants to Adaptimmune Limited an exclusive option to negotiate an *** Portions of this page have been omitted pursuant to a request for Confidential Treatment and filed separately with the Commission.,0,0,0,0,1,0,0,0,0
"Subject to the terms and conditions of this Agreement and Scope of Use and only within the Market and Territory, E.piphany grants to HSNS a non-exclusive, non-transferable, non-sublicensable license during the term of this Agreement to install and use the Applications in object code format to develop the Outsourcing Application and Outsourcing Service and to install and use the Application in object code format to develop and provide maintenance and support for the Outsourcing Application to Outsourcing Customers, to demonstrate the Outsourcing Application to potential customers, and to train HSNS personnel on the use, maintenance and support of the Outsourcing Application.",0,0,0,0,1,0,0,0,0
7.2.,0,0,0,0,0,0,0,0,0
"The Professional agrees (i) to use no golf bag bearing any identification of a competitor of the Company and (ii) to wear no apparel bearing any identification of a competitor of the Company, and will prohibit any caddy of hers from bearing any such identification.",0,0,0,0,0,1,0,0,0
.,0,0,0,0,0,0,0,0,0
"At a minimum, Company shall cause its Sales Force to satisfy the Minimum Number of Details Requirement, the Minimum Reach Requirement and, if applicable, the Minimum PDE Requirement and the Minimum Top Target Requirement set forth in Exhibit B in each Detailing Period.",0,0,0,0,0,0,0,0,1
"OntoChem hereby grants to Anixa a non-exclusive, fully paid-up, royalty-free, perpetual, irrevocable, transferable, worldwide license (with the right to grant and authorize sublicenses through multiple tiers) under any patents which OntoChem or any of its Affiliates own or control during the term of this Agreement, to make, have made, use, sell, offer for sale and import the Lead Scaffold(s) and products that incorporate compounds from the Lead Scaffold(s).",0,0,0,0,1,0,0,0,0
"If you do so, we have the right, at our option and at your expense, to rectify alterations we have not previously approved; (d) you will promptly replace or add new equipment when we reasonably specify in order to meet changing standards or new methods of service; (e) you will expend at least Six Thousand and No/100 Dollars ($6,000.00) every four (4) years in remodeling, expansion, redecorating and/or refurnishing of the Premises and the Franchise, if deemed necessary by us (any changes to the decoration or furnishing of the Premises must be approved by us); (f) on notice from us, you will engage in remodeling, expansion, redecorating and/or refurnishing of the Premises and the Franchise to reflect changes in the operations of The Joint Corp. franchises that we prescribe and require of new franchisees, provided that (1) no material changes will be required unless there are at least two (2) years remaining on the Initial Term of the Franchise (any changes to the decoration or furnishing of the Premises must be approved by us); and (2) we have required the proposed change in at least twenty-five percent (25%) of all similarly situated Company and affiliate-owned The Joint Corp.",0,0,0,0,0,0,0,0,1
In the event that Endorser shall agree to produce the Training Video (such decision shall be made by the Endorser exercisable in his sole discretion) and Products (other than the Licensed Products) are featured and sold in connection with such Training Video then Endorser shall receive ten percent (10%) of Net Sales (as defined below) from the sale of any Products other than the Licensed Products featured and sold directly in conjunction with the Training Video.,0,0,0,0,0,0,0,0,1
1.3.,0,0,0,0,0,0,0,0,0
Each Party agrees to assign and hereby assigns to the other Party such right title and interest it may have in any Other Improvements as necessary to effect joint ownership of the Other Improvements by BII and XENCOR.,0,0,0,0,0,0,0,1,0
"(iii) This Agreement may also be terminated by MusclePharm, upon fifteen days prior written notice, if death, or physical disability, physical injury, or other incapacity lasting more than eight (8) weeks, causes Endorser to be unable to perform a material amount of the personal or consulting services described in this Agreement.",0,0,0,0,0,0,1,0,0
10.2.,0,0,0,0,0,0,0,0,0
"The Client and Designer both agree not to post on defamatory websites or review websites any negative posts concerning each other, the names of our companies, and our employees.",0,0,1,0,0,0,0,0,0
The Principal shall maintain the right to contact and market its products to potential customers in the Territory; but agrees to pass on all sales leads and orders to the Distributor.,0,0,0,0,0,0,0,0,0
The Royalty payable under the Agreement shall be in the form of one (1) common stock purchase warrant of Bizzingo (as further described herein) for each Activated User (as defined above) that occurs during a Royalty Period determined on the last day of each Royalty Period during the Term.,0,0,0,0,0,0,0,0,1
"1.6 Applicable Law This Agreement shall be governed by and construed in accordance with the substantive Laws of the [* * *], excluding any rules of conflicts of laws that would apply the substantive laws of any other jurisdiction.",1,0,0,0,0,0,0,0,0
"Upon expiration or termination for any reason of this Agreement, the Franchisee's right to use the Burger King Marks and the Burger King System shall terminate.",0,0,0,0,0,0,0,0,0
"PACIFICAP ENTERTAINMENT and THE HENRY FILM AND ENTERTAINMENT CORPORATION agree that future cooperation may be valuable to both parties, and that the parties will discuss s h future cooperation each quarter or as warranted.",0,0,0,0,0,0,0,0,0
"If shared service arrangements change, allocation percentages will be re-established based on then current facts and circumstances.",0,0,0,0,0,0,0,0,0
"The Company or the Contractor may terminate this Agreement at any time in whole or in part as more specifically provided below, and in such case, the Contractor will be paid fees incurred up to the date of such termination plus its expenses accrued as of such date within 30 days of such termination.",0,1,0,0,0,0,0,0,0
Dragon may terminate this agreement without cause by giving sixty (60) days written notice to MMI.,0,1,0,0,0,0,0,0,0
Search Engine Optimization -Assist On2 personnel in optimizing the newly updated Flix product pages based on current keywords.,0,0,0,0,0,0,0,0,0
If you have transferred your Interests in violation of this Agreement you shall be considered in breach of this Agreement.,0,0,0,0,0,0,1,0,0
"During the Term, Green Cross shall not (either by itself, or with or through a Related Party or Third Party) Develop or Commercialize any (i) Product outside of the scope of this Agreement or (ii) Competing Product.",0,0,0,0,0,1,0,0,0
"§ 1320a-7b(b), (ii) violated or caused a violation of any federal or state privacy or security law or regulation, including HIPAA, (iii) not been excluded or threatened with exclusion under state or federal statutes or regulations, including under 42 U.S.C.",0,0,0,0,0,0,0,0,0
6.1 Disclaimer of Liability for Certain Damages.,0,0,0,0,0,0,0,0,0
"GRANT OF RIGHTS: (a) Wireless Products and Wireless Platform: Fox grants to Licensee a limited, exclusive (except as otherwise may be provided in this Agreement), non-transferable (except as permitted in Paragraph 17(d)) right and license to use, make, have made (as set forth in Paragraph 1(a)(i) below), reproduce, modify, and create derivative works of Wireless Content License Agreement Multiple Properties / Sorrent, Inc. / Final PLZ ***** The omitted portions of this exhibit have been filed with the Securities and Exchange Commission pursuant to a request for confidential treatment under Rule 406 promulgated under the Securities Act of 1933.",0,0,0,0,1,0,0,0,0
Such link will be displayed as the left-most link or top-most link at least fifty percent (50%) of the time.,0,0,0,0,0,0,0,0,1
7 CONFIDENTIAL TREATMENT 4.3 TAXES.,0,0,0,0,0,0,0,0,0
Section 7.3 EXPORTING AND SHIPMENT.,0,0,0,0,0,0,0,0,0
You acknowledge that we do not supervise or direct your daily affairs and that you have exclusive control over your daily affairs.,0,0,0,0,0,0,0,0,0
Term and Termination.,0,0,0,0,0,0,0,0,0
"2.9 In the case of the THC ERB Domains owned by THC: 2.9.1 THC will assign all right, title and interest in and to the THC ERB Domains (those domains owned by THC related to the ERB that do not incorporate the mark/name HERTZ) as set forth on Schedule H to HERC and as more fully set forth in the Domain Name Assignment attached hereto as Exhibit D. 2.10 In the case of the use of the mark/name HERTZ in the company name Hertz Equipment Rental Corporation (HERC): 2.10.1 HSI will, subject to compliance with the terms of this Agreement, grant a royalty-free, non-exclusive worldwide license to HERC to use the mark/name HERTZ as part of company names for the Interim Period, as more fully set forth in the Trademark, Trade Name, Domain and Related Rights License Agreement attached as Exhibit A.",0,0,0,0,1,0,0,1,0
"c. AEIS and Schoolpop shall mutually develop, market, and implement two (2) new Cards for Program use no later than October 1, 2004 as follows: i.",0,0,0,0,0,0,0,0,0
"HSWI may permit third party suppliers of services and facilities (including, without limitation, agents, consultants, host providers, data centers, outsource service providers, disaster backup and recovery service providers) to use the Content, Images and Affinities under the terms of this Agreement in support of HSWI exercising its rights under this Agreement.",0,0,0,0,0,0,0,0,0
"This Agreement contains the entire understandings of the Parties and supersedes all previous agreements (oral and written), negotiations and discussions with respect to the subject matter herein.",0,0,0,0,0,0,0,0,0
"Neither Party shall assign or transfer any rights or obligations hereunder without the express prior written consent of the other Party, which may not be unreasonably withheld.",0,0,0,0,0,0,1,0,0
"If FMI is unwilling or unable to develop and commercialize a CDx Assay for a given country in the Territory as specified in the R&D Plan, and on the timeline set forth in the relevant R&D Plan, for any reason other than a breach of this Agreement by Roche, then FMI hereby grants to Roche a non-exclusive, royalty-free, sublicensable, and perpetual license under any intellectual property invented by FMI arising from the CDx Development Program that is necessary for Roche to develop and commercialize a CDx Assay equivalent in such country in the Territory.",0,0,0,0,1,0,0,0,0
[The remainder of this page is intentionally left blank.],0,0,0,0,0,0,0,0,0
"(c) Producer further grants to ConvergTV the right and license to Distribute and re-Distribute, including relicensing or sublicensing, the Program at such dates and times as are determined by ConvergTV in its sole discretion.",0,0,0,0,1,0,0,0,0
"This Agreement is binding upon each party's assigns, transferees and successors; provided that no party may assign or otherwise transfer, by operation of law or otherwise, this Agreement in whole or in part, without the other party's prior written consent.",0,0,0,0,0,0,1,0,0
"The Sales Team shall not make any warranty or claim, express or implied, relating to any Product other than those contained in any marketing materials provided by Imprimis to the Sales Team or otherwise expressly authorized in writing by Imprimis.",0,0,0,0,0,0,0,0,0
17.2 The Agreement may be terminated by both Parties with a notification period of *** before the end of the Initial Term of the Agreement.,0,1,0,0,0,0,0,0,0
- 4 - (b) The Engagement Letter shall provide that the Bank may terminate its engagement at any time upon not less than 45 days' prior written notice to the other Parties.,0,1,0,0,0,0,0,0,0
"The first payment to IMNTV will be payable upon receipt at the end of the first calendar quarter after Launch, and will include any amounts due, pro-rated based on the number of days in such period of time; and (b) Last Payment.",0,0,0,0,0,0,0,0,0
"You agree to use in the development and operation of the Franchise the computer terminals/billing systems and operating software (""Computer System"") that we specify from time to time.",0,0,0,0,0,0,0,0,0
"10.8 The terms and conditions of this Agreement shall not be disclosed by Distributor to others, except with the prior, written consent of Airspan, or as may be required by law or as necessary to establish its rights hereunder.",0,0,0,0,0,0,0,0,0
"As used herein, ""Converge Brand Features"" means all logos, trademarks, service marks and trade names, brand names and other brand features of Converge and its licensors (other than Vert).",0,0,0,0,0,0,0,0,0
"In no event shall either party be liable to the other for the recovery of any special, indirect or consequential damages even if the defendant party had been advised of the possibility of such damages including but not limited to lost profits, lost revenues, failure to realize expected savings, loss of data and loss of use.",0,0,0,1,0,0,0,0,0
"Premier shall determine, in its sole discretion, the manner, text and timing of any publicity to be given such matters upon prior consultation with Heritage.",0,0,0,0,0,0,0,0,0
5.1.2 Upon the  .,0,0,0,0,1,0,0,0,0
7.4 Confidentiality of this Agreement.,0,0,0,0,0,0,0,0,0
"To the Agent's knowledge, the Additional Roundup Products Formulation Data does not infringe or otherwise conflict with any trademarks, registrations, or other intellectual property or proprietary rights of any third party and none of the Additional Roundup Products Formulation Data is being infringed upon by a third party.",0,0,0,0,0,0,0,0,0
"COMPANY may, in its unfettered discretion, terminate this Agreement at any time after first givingCONTENT PROVIDER ten (10) days advance notice thereof.",0,1,0,0,0,0,0,0,0
"Following the Effective Date, subject to Section 4.1.1, Aimmune shall be responsible for handling all medical questions or inquiries in each country, including all Product Complaints, with regard to any Product distributed or sold by or on behalf of Aimmune (or any of the other Aimmune Agreement Entities), in each case in accordance with Applicable Law and this Agreement.",0,0,0,0,0,0,0,0,0
This copy omits the information subject to the confidentiality request.,0,0,0,0,0,0,0,0,0
"Each of you agrees that for a two-year period after Franchisee ceases to have any interest in any Restaurants or any rights to develop Restaurants, regardless of the reasons such interest ceases or terminates, you will not directly or indirectly on your own account or as an employee, consultant, partner, officer, director, shareholder or member of any person, firm, entity, partnership, corporation or company, own operate, lease franchise, engage in, be connected with, have any interest in, or assist any person or entity engaged in: 1) any restaurant business, 2) any prepared food business, or 3) any other business which sells prepared food products the same or similar as the type sold in our System; which is located at or within a ten (10) mile radius of your former Franchised Restaurant or any Buffalo Wild Wings or bw-3 Restaurant.",0,0,0,0,0,1,0,0,0
"TrueLink hereby grants to Client a non-exclusive license to use the Interface in the ordinary course of its business of the origination, underwriting, processing and funding of consumer finance receivables in accordance with this Agreement.",0,0,0,0,1,0,0,0,0
"Upon the termination of this Agreement, Aimmune will promptly, in each case within ) days thereafter: (a) assign to Xencor, , and subject to the execution of a standard trademark license between the Parties prior to such assignment, all of Aimmune's right, title and interest in and to any (i) Promotional Materials, (ii) copyrights and trademarks (including the Product Trademarks and Product Trade Dress), including any goodwill associated therewith, and any registrations and design patents for the foregoing, and (iii) any internet domain name registrations for such trademarks and slogans, all to the extent solely related to the Product; provided, however, in the event Xencor exercises such right to have assigned such Promotional Materials, Aimmune shall grant, and hereby does grant, a royalty-free right and license to any housemarks, trademarks, names and logos of Aimmune contained therein for a period of ) months in order to use such Promotional Materials solely in connection with the Commercialization of the Product; (c) assign to Xencor, [***], the management and continued performance of any Clinical Trials for the Product ongoing hereunder as of the effective date of such termination in respect of which Xencor shall assume full financial responsibility from and after the effective date of such termination; (d) transfer to Xencor all of Aimmune's right, title and interest in and to any and all regulatory filings, Regulatory Approvals and other Regulatory Materials for the Product; 41 Source: AIMMUNE THERAPEUTICS, INC., 8-K, 2/5/2020 (e) transfer to Xencor all of Aimmune's right, title and interest in and to any and all Development-related data and Commercialization Data Controlled by Aimmune for the Product; and (f) provide a copy of (i) the material tangible embodiments of the foregoing and (ii) any other material books, records, files and documents Controlled by Aimmune solely to the extent related to the Product and which may be redacted to exclude Confidential Information of Aimmune; provided, however, that to the extent that any agreement or other asset described in this Section 14.2 is not assignable by Aimmune (whether because such agreement or asset is explicitly non-assignable or because the Third Party consent required for such assignment is not obtained), then such agreement or other asset will not be assigned, and upon the request of Xencor, Aimmune will take such steps as may be reasonably necessary to allow Xencor to obtain and to enjoy the benefits of such agreement or other asset.",0,0,0,0,0,0,0,1,0
"Software License D2 Technologies, Inc. and Maintenance Agreement August 4, 1997 CONFIDENTIAL 47 EXHIBIT D MODEL LICENSEE AGREEMENT FOR LICENSEE PRODUCT SOFTWARE LICENSE Licensed Technology incorporated in LICENSEE Product, together with Updates and New Versions thereof, are provided to LICENSEE's Customer under a non-exclusive worldwide license subject to the following terms: 1.",0,0,0,0,1,0,0,0,0
Each of RevMed and Sanofi acknowledges and agrees as follows: 1.,0,0,0,0,0,0,0,0,0
"The parties acknowledge and agree that: 21.1.1 this Agreement does not create a fiduciary relationship between them; 21.1.2 you are the only party that will be in day-to-day control of your franchised business, even though we will share the brand and Proprietary Marks as specified in this Agreement, and neither this Agreement nor any of the systems, guidance, computer programs, processes, or requirements under which you operate alter that basic fact; 21.1.3 nothing in this Agreement and nothing in our course of conduct is intended to make either party an agent, legal representative, subsidiary, joint venturer, partner, employee, or servant of the other for any purpose whatsoever; and 21.1.4 neither this Agreement nor our course of conduct is intended, nor may anything in this Agreement (nor our course of conduct) be construed, to state or imply that we are the employer of your employees and/or independent contractors, nor vice versa 21.2 Notice of Status.",0,0,0,0,0,0,0,1,0
"Source: CYTODYN INC., 10-Q, 1/9/2020 Attachment D Form of Supply Agreement [See attached.]",0,0,0,0,0,0,0,0,0
"Furthermore, ABW agrees not to attempt any reverse engineering of the HYPERFEED to decode the signals used by PCQ in transmitting the information.",0,0,0,0,0,0,0,0,0
"Each of the HOF Entities or Constellation may terminate this Agreement at any time without liability if association with another Party could, in such Party's reasonable opinion, materially damage its reputation or image or in the event a Party breaches Section 3.3 hereof, which breach is not cured within sixty (60).",0,0,1,0,0,0,0,0,0
"For each User that accesses the co-branded ------------------------ site and becomes a paying customer on the co-branded site, SpinRecords.com agrees to pay a fee of five (5%) percent of the gross sale.",0,0,0,0,0,0,0,0,1
The Company hereby grants the MBE Centers a [***]* under all of --- Company's Intellectual Property Rights solely to access and use the Service in accordance with the terms and conditions of this Agreement and the Subscription Agreement.,0,0,0,0,1,0,0,0,0
"Aucta should continue to receive 15% of Net Sales Royalty for as long as ETON is selling the Product(s) in the Territory, unless otherwise agreed to under this Agreement.",0,0,0,0,0,0,0,0,1
"/s/ Michael Rockford /s/ John Marcum for RadialSpark, LLC for Clear Capital Page 10 of 10",0,0,0,0,0,0,0,0,0
"""Exclusivity"" shall mean that Franchisor shall not grant any further licenses to third parties in the Trademarks for use in connection with Smaaash Centres in the Territory, and the Franchisee shall not enter into any arrangement or agreement with any third parties for establishing or operating any gaming and entertainment centres identical or similar to Smaaash Centres, in the Territory except as otherwise provided in this Agreement; provided, however, that Franchisor may continue to use the Trademarks in the Territory in connection with the operation of Franchisor's entertainment centers already set up as of the Effective Date in the Territory.",0,0,0,0,0,1,0,0,0
